Year,GDP_Growth_Pct,Inflation_Pct,Notes,Economic_Stress
2008,6.69,25.0,High growth but extreme inflation from food/fuel crisis.,High
2009,0.09,-0.7,Global crisis hit garment exports. Near-zero growth. Deflation.,High
2010,6.04,4.0,Strong rebound. Garment sector recovered.,Low
2011,7.07,5.5,Continued strong growth. Construction boom.,Medium
2012,7.26,2.9,Stable high growth period.,Low
2013,7.36,2.9,Contested election. Opposition boycotted. Growth continued.,Low
2014,7.07,3.9,Stable. Hun Sen consolidated power.,Low
2015,7.04,1.2,Continued high growth. Low inflation.,Low
2016,6.95,3.0,Stable growth. Political crackdown beginning.,Low
2017,7.0,2.9,CNRP dissolved Nov. Cambodia became de facto one-party state.,Low
2018,7.47,2.5,CPP won all seats. Casino/scam economy growing.,Low
2019,7.05,1.9,Peak pre-COVID growth. Scam compounds expanding.,Low
2020,-3.1,2.9,COVID crash. Tourism and garments collapsed.,High
2021,3.03,2.9,Partial recovery. Scam industry exploded post-COVID.,Medium
2022,5.16,5.3,Recovery continued. Inflation spike from global factors.,Medium
2023,5.58,2.1,Hun Manet became PM. Scam crackdown pressure growing.,Low
2024,5.3,1.5,Moderate growth. OFAC sanctions on Ly Yong Phat. Scam economy under pressure.,Low
2025,3.5,2.0,Border conflict. Tourism hit. Scam crackdown intensified. Growth slowed significantly.,Medium
