# NOTE: T2 sources are Constitutional Court of Thailand (constitutionalcourt.or.th — renders images only, not text-accessible via WebFetch), Khaosod English (khaosodenglish.com — 403 on direct fetch, recovered via search), Prachatai English (prachatai.com/english — redirects to prachataienglish.com — 403), Wikipedia historical rulings (en.wikipedia.org/wiki/Rulings_of_the_Constitutional_Court_of_Thailand — 403), and AsianLII (asianlii.org/th/cases/THCC/ — 410 Gone). All data recovered via search summaries from the listed sources. Manual browser review recommended for primary source verification.
Year,Court_Actions_Count,Court_Direction,T2_Activity,Key_Ruling,Notes,Source
2008,3,Anti-Elected,High,"Samak removed (cooking show payments). PPP dissolved Dec 2008. 109 PPP executives banned 5 years.","Three major anti-elected rulings in one year. Led directly to Abhisit becoming PM via parliamentary maneuver. Court acting as kingmaker against Thaksin-aligned parties.",Wikipedia / Khaosod English
2009,0,Neutral,Low,"No major rulings against or for government.","Abhisit (Democrat) in power with establishment support. No need for court intervention against government.",Wikipedia / Khaosod English
2010,0,Neutral,Low,"No major Constitutional Court rulings.","Red Shirt crackdown managed by military, not courts. Court quiet during political crisis.",Wikipedia / Khaosod English
2011,0,Neutral,Low,"No major rulings. Yingluck wins July landslide — no immediate court action.","Court accepts civilian election result without challenge. Unusual period of judicial restraint.",Wikipedia / Khaosod English
2012,0,Neutral,Low,"No major rulings against government.","Yingluck governs. Court quiet.",Wikipedia / Khaosod English
2013,1,Anti-Elected,Medium,"Court rules against Yingluck government's constitutional amendment attempt (Senate restructure) Nov 2013.","Single but significant ruling. Blocked Pheu Thai from changing Senate composition. Coincides with PDRC protest escalation.",Wikipedia / Khaosod English
2014,1,Anti-Elected,Medium,"May 7: Yingluck removed for abuse of power (Thawil transfer case). Coup followed May 22.","Court removal of PM preceded and enabled coup. Pattern: court destabilizes elected government, military completes the removal.",Wikipedia / Khaosod English / Prachatai English
2015,0,Pro-Establishment,Low,"No rulings against government. Junta in power — no oppositional targets.","Court not needed as political tool when military runs government directly.",Khaosod English
2016,0,Pro-Establishment,Low,"Court approves new junta-drafted constitution via referendum oversight.","Court legitimizes junta constitutional project. No anti-elected rulings — no elected government exists.",Khaosod English
2017,0,Pro-Establishment,Low,"New constitution takes effect. Court operates within junta framework.","Continued junta period. Court dormant as anti-elected instrument.",Khaosod English
2018,0,Pro-Establishment,Low,"No major rulings. Courts dismiss several existing LM cases (TLHR data).","Unusual lull in court political activity. TLHR documented courts dismissing cases rather than prosecuting.",Khaosod English / Prachatai English
2019,2,Anti-Opposition,Medium,"Feb: Thai Raksa Chart dissolved for nominating royal candidate for PM. Sep: Prayuth ruled eligible to continue as PM despite military background.","Two significant rulings — one removes electoral threat (Thai Raksa Chart), one protects junta PM continuation. Both favor establishment.",Khaosod English / Wikipedia
2020,2,Anti-Opposition,Medium,"Feb 21: Future Forward Party dissolved (Thanathorn loan = illegal donation). Dec: Prayuth acquitted of ethics breach over army housing.","FFP dissolution triggers mass pro-democracy protests. Prayuth acquittal protects establishment PM. Both rulings favor military-royalist bloc.",Khaosod English / Prachatai English
2021,1,Anti-Opposition,Medium,"Nov 10: Court rules monarchy reform calls constitute attempt to overthrow democratic system with King as Head of State. Constitutional amendment (135,000 voter signatures) rejected.","Landmark ruling criminalizes pro-democracy movement's core demand. Prachatai: 'calls for reform count as overthrowing the regime.'",Prachatai English / Khaosod English
2022,1,Mixed,Medium,"Aug: Prayuth suspended over 8-year term limit. Sep: Returns after favorable ruling — court finds term counts from 2017 constitution, not 2014.","Suspension creates instability but ruling ultimately protects Prayuth. Net effect: pro-establishment despite temporary suspension.",Khaosod English
2023,2,Anti-Opposition,High,"Jul: Pita Limjaroenrat suspended from parliament (media shares). Court accepts MFP dissolution petition. MFP blocked from forming government despite election win.","Systematic lawfare against election winner. Pattern mirrors 2008 (Thaksin allies) and 2020 (FFP). Khaosod: 'Lawfare has begun; Pita's fate repeats Thailand's political turmoil.'",Khaosod English / Prachatai English
2024,3,Anti-Elected,High,"Aug 7: Move Forward Party dissolved — leaders banned 10 years. Aug 14: PM Srettha removed (appointed ex-convict Pichit to cabinet). Nov 22: Sedition case against Thaksin/Pheu Thai dismissed.","Two major anti-elected rulings in one week (Aug 7 and Aug 14). Most concentrated court activity since 2008. Nov dismissal is rare pro-Pheu Thai outcome — mixed signal.",Khaosod English / Wikipedia
2025,1,Anti-Elected,High,"Aug 29: PM Paetongtarn removed — ethical breach over Hun Sen phone call conduct.","Second consecutive PM removed by court within 13 months. Court directly intersects with T5 Cambodia provocation signal — Hun Sen phone call is both T6 channel health event and T2 trigger.",Khaosod English / Prachatai English
2026,0,Neutral,Low,"No major rulings recorded to date. Anutin government installed without court intervention.","Post-Paetongtarn period. Court activity reduced — new government not yet a court target.",Khaosod English
