Year,Friction_Events_Est,Key_Event_Type,T3_Friction,Notes,Source
2008,0,Military-Aligned Government,Low,Post-2006 coup. Abhisit installed by courts and military. Military IS aligned with government — no civilian-military divide.,Nation Thailand
2009,0,Military-Aligned Government,Low,Abhisit government continues with full military backing. No friction between civilian and military authority.,Nation Thailand
2010,1,Military Used by Civilian Government,Low,"Military deployed against Red Shirts Apr-May 2010 on civilian order — military serving government, not defying it. No civil-military friction.",Nation Thailand
2011,1,Post-Election Transition Tension,Low,"Yingluck wins landslide July 2011. Military accepts result — unusual. Minor institutional tension as military adjusts to elected civilian government. No overt friction events.",Nation Thailand
2012,0,Stable Civilian-Military Relations,Low,Yingluck governs. Military quiet. No notable friction events recorded.,Nation Thailand
2013,2,Coup Signaling Begins,Medium,"PDRC protests begin Nov 2013. Military begins signaling against Yingluck government. Constitutional amendment attempt blocked. Military publicly signals non-neutrality.",Nation Thailand
2014,3,Coup,High,"May 20 martial law declared. May 22 coup. General Prayuth removes elected civilian government. Maximum civil-military friction event — entire civilian government displaced.",Nation Thailand / Khaosod English
2015,0,Junta Government — Unified Command,Low,"NCPO junta IS the government. No civilian-military friction — all authority unified under military leadership. Civilian technocrats appointed by military.",Nation Thailand
2016,0,Junta Government — Unified Command,Low,Same as 2015. Military runs government directly. No friction.,Nation Thailand
2017,0,Junta Government — Unified Command,Low,New constitution approved. Military structures its own political continuation. No civilian friction.,Nation Thailand
2018,0,Junta Government — Unified Command,Low,NCPO continues. No meaningful civilian government to create friction against.,Nation Thailand
2019,1,Post-Election Military Retention,Medium,"Elections held Mar 2019. Pheu Thai wins seats but Prayuth returned as PM via military-appointed 250-senator bloc. Civilian election results effectively overridden by military-designed constitution.",Nation Thailand / Khaosod English
2020,2,Military vs. Pro-Democracy Civilian Movement,Medium,"Future Forward Party dissolved Feb 2020. Prayuth government uses courts and security forces against civilian pro-democracy protesters (Jul-Nov 2020). Civilian democratic actors systematically suppressed.",Khaosod English / Nation Thailand
2021,2,Security Forces vs. Civilian Protesters,Medium,"Largest protest crackdowns. 259 individuals eventually charged. Military and civilian PM (Prayuth) aligned against pro-democracy movement. Coalition civilian members show occasional dissent.",Khaosod English / Nation Thailand
2022,2,PM Suspension / Coalition Friction,Medium,"Prayuth suspended by Constitutional Court Aug 2022 (8-year term limit case). Returned Sep after favorable ruling. Coalition civilian partners show open tension with military-aligned bloc.",Khaosod English / Nation Thailand
2023,2,Civilian Defence Minister Pushes Reform,Medium,"MFP wins election May 2023 but blocked from forming government. New civilian Defence Minister Sutin Klungsang installed under Srettha. Sutin insists military reform underway amid military resistance.",Nation Thailand / Khaosod English
2024,4,Military Reform Blocked — Rogue Army Editorial,High,"Military reform bill (National Defence Organisation Act) withdrawn Dec 2024 after Bhumjaithai and UTN coalition partners reject it. Khaosod editorial: civilian government openly admits it cannot control Defence Ministry. ISEAS Paul Chambers: 2024 reshuffles structured as guardian tactic against civilian control.",Nation Thailand / Khaosod English
2025,6,Army Commander Defies PM — Border Crisis,High,"May: Gen. Boonsin unilaterally closes border defying PM. Jun 15: Paetongtarn tells Hun Sen she cannot control Boonsin — royal entourage visits Boonsin simultaneously. Jul 16-20: Boonsin declares no government order needed for tactical responses. Aug 12: Khaosod analysis — civilian government relegated to secondary role. Aug 29: Paetongtarn removed after Hun Sen call crisis. Dec: Military leverages border crisis to reassert political dominance.",Khaosod English / Nation Thailand
2026,1,Transitional Government — Military Dominant,Medium,"Anutin Charnvirakul as PM (~21% approval). Military continues to operate with high autonomy in border zone. Civilian government lacks authority to direct military operations. Friction persists but below 2025 peak.",Nation Thailand / Khaosod English
