Year,LM_Prosecutions_Est,Court_Actions,Court_Direction,Bloc_Cohesion,LM_Notes,Court_Notes
2008,77,2,Anti-Elected,High,Post-2006 coup surge. 4800+ webpages blocked. iLaw/TLHR data.,PM Samak banned (cooking show). Coalition dissolved Dec 2008. 109 executives banned. Led to Abhisit PM.
2009,80,0,Neutral,Medium,Continued high enforcement under Abhisit government. Multiple cases tied to Red Shirt movement.,No major anti-government rulings. Abhisit (Democrat) in power with establishment support.
2010,478,0,Neutral,Medium,"Wikipedia/iLaw: 478 cases in 2010. Peak year. Red Shirt crackdown. 60,000 websites banned.","No major rulings. Red Shirt crackdown handled by military, not courts."
2011,100,0,Neutral,Medium,Remained high early year. Declined after Yingluck took office Aug 2011.,Yingluck won landslide July. No immediate court action.
2012,30,0,Neutral,Medium,Declined significantly under Yingluck. She said she would not seek to reform the law but enforcement dropped.,No major rulings against government.
2013,25,1,Anti-Elected,High,Continued low under Yingluck. Conviction rate ~76% (UN OHCHR).,Court ruled against constitutional amendment attempt by Yingluck government.
2014,50,1,Anti-Elected,High,May 2014 coup. NCPO granted military tribunal authority. 127 arrested May 2014-Jul 2017. Spike post-coup.,PM Yingluck removed May 2014 (national security chief transfer). Coup followed.
2015,45,0,Pro-Establishment,Medium,Junta enforcement. 60-year sentence for Facebook posts (Pongsak). Conviction rate jumped to ~96%.,Junta in power. No need for court to act against government.
2016,55,0,Pro-Establishment,Medium,King Bhumibol died Oct 2016. Spike in prosecutions late year. Jatupat arrested for sharing BBC article.,Junta in power. Court approved new constitution.
2017,40,0,Pro-Establishment,Medium,"Multiple major cases (Pai Dao Din, Somsak Facebook share cases). TLHR documented several.",Junta in power. New constitution took effect.
2018,5,0,Pro-Establishment,Medium,TLHR: No new Section 112 cases prosecuted in 2018. Courts dismissed several existing cases. Dramatic drop.,Junta in power. No oppositional rulings needed.
2019,5,2,Anti-Opposition,Medium,Enforcement remained low. Post-election period. Prayuth continued as PM via Senate.,Thai Raksa Chart dissolved (Feb). Prayuth ruled eligible to continue as PM (Sep).
2020,10,1,Anti-Opposition,Medium,Low until Nov 2020. Prayuth pledged to enforce 'all laws' against pro-democracy protesters in late Nov.,Future Forward Party dissolved (Feb). Thanathorn banned 10 years.
2021,130,0,Neutral,Medium,Massive surge. 259 individuals charged Nov 2020-Oct 2023 per FIDH. 43-year sentence handed down.,"No major dissolutions. Protest prosecutions via criminal courts, not Constitutional Court."
2022,90,1,Mixed,High,Continued high enforcement against pro-democracy movement. FIDH/iLaw tracking.,Prayuth suspended Aug (term limit case). Returned Sep after favorable ruling.
2023,80,1,Anti-Opposition,High,100 verdicts reached by Oct 2023 (FIDH). 79% conviction rate. Arnon Nampa convicted Sep 2023.,MFP blocked from forming government. Pita suspended for media shares case.
2024,50,2,Anti-Elected,High,Move Forward dissolved Aug 2024 for advocating Section 112 reform. Srettha removed Aug 2024.,Move Forward dissolved Aug 7. PM Srettha removed Aug 14. Two major rulings in one week.
2025,30,1,Anti-Elected,High,Paetongtarn removed Aug 2025. Focus shifted to border conflict. Enforcement continued but attention diverted.,PM Paetongtarn removed Aug 29 after Hun Sen phone call crisis.
